Date,Open,High,Low,Close,Volume
06/28/2024,160.23,166.45,159.41,162.21,"56,204,621"
06/27/2024,157.18,160.61,156.81,159.47,"34,018,219"
06/26/2024,160.6,160.74,156,157.54,"36,973,441"
06/25/2024,160.73,161,156.45,160.25,"40,975,281"
06/24/2024,159.75,163.4,158.19,160.25,"45,954,047"
06/21/2024,161.75,163.2,157.89,161.23,"61,334,699"
06/20/2024,155.83,166.82,155.5,161.78,"93,245,727"
06/18/2024,156.99,157.24,153.34,154.63,"51,852,031"
06/17/2024,158,159.23,154.14,158.4,"44,507,738"
06/14/2024,158.5,161.34,157.61,159.63,"34,054,020"
06/13/2024,160.4,162.66,157.31,159.9,"44,442,512"
06/12/2024,160.32,162.24,158.62,160.24,"48,325,809"
06/11/2024,160.5,161.54,156.92,158.96,"40,497,090"
06/10/2024,162.48,165.55,159.61,160.34,"67,575,633"
06/07/2024,166.59,169.45,165.86,167.87,"44,796,000"
06/06/2024,165.46,169.51,163.86,166.78,"47,153,680"
06/05/2024,162.07,167.12,161.38,166.17,"60,507,488"
06/04/2024,162.84,164.83,158.87,159.99,"48,157,207"
06/03/2024,170.82,171.08,160.91,163.55,"59,157,594"
05/31/2024,166.65,169.5,160.07,166.9,"64,331,953"
05/30/2024,167.9,168.75,163.8,166.75,"46,479,930"
05/29/2024,167.46,168.48,162.91,165.14,"56,537,500"
05/28/2024,169.42,174.55,164.96,171.61,"66,495,406"
05/24/2024,161.41,167.66,160.25,166.36,"54,868,648"
05/23/2024,170.18,173.14,158.27,160.43,"91,888,844"
05/22/2024,167.41,169.81,163.86,165.52,"47,426,719"
05/21/2024,164,165.83,163.1,164.66,"30,005,480"
05/20/2024,165.55,168.49,164.47,166.33,"45,618,039"
05/17/2024,168.43,169.72,162.32,164.47,"65,944,359"
05/16/2024,160.92,168.06,159.9,162.62,"76,726,727"
05/15/2024,155.59,159.69,154.7,159.67,"43,195,898"
05/14/2024,150.43,153.49,148.78,153.16,"31,938,279"
05/13/2024,151.28,153.33,150.4,150.56,"27,859,180"
05/10/2024,154.29,156.37,151.31,151.92,"37,652,770"
05/09/2024,153.13,154.09,150.61,152.39,"33,017,961"
05/08/2024,153.4,155.33,152.52,153.62,"28,727,961"
05/07/2024,156.32,157.7,153.66,154.43,"37,374,910"
05/06/2024,153.1,156.65,151.26,155.78,"44,624,551"
05/03/2024,148.75,150.79,147.24,150.6,"49,361,078"
05/02/2024,145.51,147.62,141.16,146.16,"50,034,727"
05/01/2024,148.11,151.37,142.14,144.27,"89,413,172"
04/30/2024,160.63,162.29,158.35,158.38,"60,742,832"
04/29/2024,159.08,160.77,156.26,160.2,"43,478,219"
04/26/2024,154.24,158.63,153.43,157.4,"42,510,711"
04/25/2024,149.15,155.14,146.75,153.76,"41,471,422"
04/24/2024,156.56,157.66,150.63,151.74,"43,412,551"
04/23/2024,151.65,153.5,150.35,152.27,"46,051,910"
04/22/2024,148.15,149.89,145.63,148.64,"49,397,031"
04/19/2024,151.59,154.25,145.29,146.64,"71,618,203"
04/18/2024,155.51,156.96,152.32,155.08,"52,669,820"
04/17/2024,163.97,164.45,153.88,154.02,"75,908,969"
04/16/2024,162.28,164.88,161.67,163.46,"55,302,102"
04/15/2024,164.43,164.44,158.76,160.32,"61,461,152"
04/12/2024,164.53,165.7,161.83,163.28,"63,519,641"
04/11/2024,167.55,170.95,166.55,170.5,"48,994,527"
04/10/2024,166.71,169.78,164,167.14,"59,599,961"
04/09/2024,170.21,171.6,167.29,170.78,"42,927,992"
04/08/2024,168.2,171.66,166.82,169.9,"43,997,551"
04/05/2024,168.1,172.69,165.58,170.42,"66,080,258"
04/04/2024,182.92,183.02,165.65,165.83,"88,279,961"
04/03/2024,177.54,182.05,176.7,180.77,"49,835,059"
04/02/2024,179.47,180.1,174.83,178.7,"61,598,820"
04/01/2024,180.1,187.24,179.9,183.34,"74,299,914"
03/28/2024,179.47,183.4,178.3,180.49,"57,628,609"
03/27/2024,179.96,181.23,175.4,179.59,"55,685,648"
03/26/2024,179.54,182.6,176.33,177.87,"65,322,449"
03/25/2024,172.9,182.8,172,178.63,"71,935,312"
03/22/2024,177.21,180.76,175.05,179.65,"57,899,070"
03/21/2024,185.97,187.69,177.66,178.68,"75,265,602"
03/20/2024,182.03,182.68,174,179.73,"81,773,109"
03/19/2024,183.16,185.61,177.36,181.42,"83,509,453"
03/18/2024,193.29,193.5,188.05,190.65,"59,306,871"
03/15/2024,184.83,193.8,184.48,191.06,"95,289,516"
03/14/2024,192.92,196.93,184.03,187.06,"84,490,531"
03/13/2024,198.73,198.83,192.7,194.79,"70,526,883"
03/12/2024,200.52,202.85,194.27,202.76,"68,951,664"
03/11/2024,203.01,203.55,196.7,198.39,"73,098,625"
03/08/2024,213.41,227.3,205.6,207.39,"120,815,203"
03/07/2024,212.52,213.83,208.22,211.38,"63,869,039"
03/06/2024,210.43,214.81,207.32,210.63,"86,686,992"
03/05/2024,200.5,205.33,199.15,205.13,"65,407,113"
03/04/2024,205.16,211.01,203.5,205.36,"86,835,344"
03/01/2024,197.91,202.72,195.42,202.64,"103,820,797"
02/29/2024,179.82,193,179.82,192.53,"105,538,492"
02/28/2024,176.25,176.84,173.59,176.54,"35,914,406"
02/27/2024,175.92,178.46,172.49,178,"43,665,238"
02/26/2024,178.78,179.84,174.81,176.01,"45,435,090"
02/23/2024,181.86,183.8,174.55,176.52,"69,207,367"
02/22/2024,173.2,183.83,172,181.86,"100,684,703"
02/21/2024,162.74,164.9,161.81,164.29,"48,774,559"
02/20/2024,171.14,171.81,162,165.69,"66,549,992"
02/16/2024,177.45,180.33,173.25,173.87,"53,940,340"
02/15/2024,179.14,180.5,175.26,176.76,"51,126,441"
02/14/2024,173.47,178.74,172.88,178.7,"57,402,520"
02/13/2024,167.94,173.17,164.3,171.54,"63,071,312"
02/12/2024,172.68,177.41,170.67,171.91,"58,177,047"
02/09/2024,171,175.1,168.66,172.48,"56,375,711"
02/08/2024,170.33,172.17,168.6,169.35,"43,385,281"
02/07/2024,169.47,172.97,168.2,170.94,"53,665,422"
02/06/2024,173.15,173.88,165.5,167.88,"68,854,125"
02/05/2024,179.09,180.01,171.11,174.23,"76,349,242"
02/02/2024,173.79,179,173.05,177.66,"82,134,273"
02/01/2024,169.27,171.14,165.86,170.48,"91,576,688"
01/31/2024,165.74,171.3,162.56,167.69,"133,157,297"
01/30/2024,176.13,178.48,169.52,172.06,"122,265,695"
01/29/2024,178.77,178.89,174.4,177.83,"89,384,445"
01/26/2024,175.29,181.23,174.15,177.25,"107,381,203"
01/25/2024,183.41,184.92,177.63,180.33,"127,171,398"
01/24/2024,172.55,180.58,170.56,178.29,"125,516,398"
01/23/2024,166.5,169.63,164.27,168.42,"76,830,461"
01/22/2024,174.39,174.72,164.15,168.18,"122,973,797"
01/19/2024,165.8,174.25,162.2,174.23,"140,367,906"
01/18/2024,166.2,168.6,158.22,162.67,"131,864,891"
01/17/2024,158.45,160.64,154.4,160.17,"104,085,000"
01/16/2024,150.36,159.72,149.98,158.74,"112,711,398"
01/12/2024,148.04,148.75,145,146.56,"48,293,090"
01/11/2024,148.52,150.38,143.69,148.02,"62,764,602"
01/10/2024,150.07,150.88,146.65,148.54,"56,951,238"
01/09/2024,145.95,149.86,145.08,149.26,"67,875,672"
01/08/2024,140.36,147.15,140.15,146.18,"71,756,914"
01/05/2024,136.78,141.01,136.44,138.58,"69,657,680"
01/04/2024,134.3,137.7,134,136.01,"58,610,289"
01/03/2024,135.71,137.43,133.74,135.32,"61,988,578"
01/02/2024,144.28,144.4,137.43,138.58,"64,902,031"
